,Year,Team,Seed,Region,Proj_Wins_Safe,Wins
192,2018,Rhode Island,7,Midwest,0.7136724077285176,1
224,2018,Seton Hall,8,Midwest,0.9539651063569637,1
211,2018,Marshall,13,East,0.2625285045562477,1
230,2018,Alabama,9,East,0.5254306230018603,1
254,2018,Butler,10,East,0.7540417765656404,1
253,2018,UMBC,16,South,0.19678712695479988,1
257,2018,Buffalo,13,South,0.4240962361557865,1
745,2018,Virginia,1,South,3.6862972134889262,0
812,2018,Arizona,4,South,1.5638902814641311,0
696,2018,Virginia Tech,8,East,0.6636133410646942,0
697,2018,Wichita St.,4,East,1.0587563623994092,0
810,2018,Arkansas,7,East,0.7936228434042946,0
800,2018,Miami FL,6,South,0.954304234609356,0
746,2018,UNC Greensboro,13,West,0.35167670186754557,0
782,2018,Texas Southern,16,West,0.12518969009526992,0
783,2018,Providence,10,West,0.7379695891580133,0
786,2018,North Carolina Central,16,West,0.0694333435016478,0
792,2018,San Diego St.,11,West,0.6349439594769067,0
793,2018,South Dakota St.,12,West,0.4566335412281997,0
798,2018,Montana,14,West,0.4105402887698382,0
799,2018,Missouri,8,West,0.5534714277610082,0
802,2018,Lipscomb,15,West,0.18354436972323288,0
747,2018,UCLA,11,East,0.8045463102166484,0
784,2018,Murray St.,12,East,0.408869012278797,0
790,2018,Radford,16,East,0.171964124236155,0
794,2018,St. Bonaventure,11,East,0.46529840833388847,0
795,2018,Stephen F. Austin,14,East,0.25646065218669645,0
801,2018,LIU Brooklyn,16,East,0.07912915199838651,0
808,2018,Cal St. Fullerton,15,East,0.12852172107095924,0
698,2018,Wright St.,14,South,0.24638282982937798,0
797,2018,Texas,10,South,0.8858602199330263,0
804,2018,Georgia St.,15,South,0.2460335487421298,0
805,2018,Davidson,12,South,0.3988533372685147,0
806,2018,Creighton,8,South,0.6769906278646696,0
785,2018,New Mexico St.,12,Midwest,0.5537901642823185,0
787,2018,North Carolina St.,9,Midwest,0.689211800470669,0
788,2018,Oklahoma,10,Midwest,0.7090455452719945,0
789,2018,Penn,16,Midwest,0.24392592417017075,0
796,2018,TCU,6,Midwest,0.7874526280284789,0
803,2018,Iona,15,Midwest,0.16882222126338614,0
807,2018,College of Charleston,13,Midwest,0.30297263965916293,0
809,2018,Bucknell,14,Midwest,0.31348331829906395,0
811,2018,Arizona St.,11,Midwest,0.569867338327573,0
2,2017,North Carolina,1,South,2.635419174707186,6
23,2017,Gonzaga,1,West,2.2285985634152774,5
40,2017,Oregon,3,Midwest,1.3715387638020182,4
33,2017,South Carolina,7,East,0.6004516778772395,4
72,2017,Kansas,1,Midwest,2.2813712608558516,3
68,2017,Kentucky,2,South,2.6215325640030347,3
61,2017,Florida,4,East,1.4765730978202518,3
76,2017,Xavier,11,West,0.7199601123929726,3
136,2017,Arizona,2,West,2.100405529484856,2
185,2017,West Virginia,4,West,1.5079575437460664,2
130,2017,Butler,4,South,0.9320234377388329,2
124,2017,Baylor,3,East,1.451454190648738,2
161,2017,Wisconsin,8,East,1.4085429293970992,2
187,2017,UCLA,3,South,1.664781310207385,2
101,2017,Michigan,7,Midwest,1.3546732800898005,2
118,2017,Purdue,4,Midwest,1.3067812510638703,2
247,2017,Villanova,1,East,3.0618621085259985,1
195,2017,Duke,2,East,2.443615357078061,1
263,2017,Louisville,2,Midwest,1.7072871542834365,1
205,2017,Florida St.,3,West,1.4110759137541866,1
208,2017,Cincinnati,6,South,1.7199364583146277,1
252,2017,Iowa St.,5,Midwest,1.439599940639576,1
210,2017,Saint Mary's,7,West,1.0114016766143787,1
228,2017,Notre Dame,5,West,1.3681219653191703,1
256,2017,Northwestern,8,West,0.7377832163064745,1
236,2017,Virginia,5,East,1.1940323814261244,1
217,2017,Arkansas,8,South,0.7872574718285099,1
242,2017,Wichita St.,10,South,1.1567990007637365,1
204,2017,USC,11,East,0.8728247209137984,1
237,2017,Middle Tennessee,12,South,0.5872635042307288,1
200,2017,Rhode Island,11,Midwest,0.6172818495302813,1
234,2017,Michigan St.,9,Midwest,0.4834195660778582,1
757,2017,SMU,6,East,1.7720537356897705,0
