,Year,Team,Proj_Wins_Safer,Wins_Rank_Safer
227,2022,Murray St.,0.8707545802879679,25
228,2022,Ohio St.,0.6899546212791272,38
230,2022,Illinois,1.153282856596092,18
231,2022,Notre Dame,0.7192415936213765,35
232,2022,New Mexico St.,0.36485166683850245,52
233,2022,Memphis,0.7097388245490375,37
229,2022,TCU,0.8527580877995196,27
234,2022,Richmond,0.3490062837509346,53
235,2022,Creighton,0.6502712821182269,40
236,2022,Kentucky,2.4339571067504933,6
237,2022,Connecticut,1.0885954914000309,20
238,2022,Iowa,1.8375244211721184,11
239,2022,Boise St.,0.8066242852525689,31
240,2022,Alabama,0.765252764857384,32
258,2022,Seton Hall,0.8546195755733952,26
241,2022,San Diego St.,0.6705707007496754,39
242,2022,LSU,1.1395767533830057,19
243,2022,USC,0.9211558449023347,24
244,2022,Rutgers,0.4239305331311514,50
245,2022,Montana St.,0.1997362709562014,55
246,2022,Georgia St.,0.1596973889714048,59
247,2022,Davidson,0.6089055043858718,43
248,2022,Cal St. Fullerton,0.14673806653675592,63
249,2022,Vermont,0.4140923128382753,51
250,2022,San Francisco,0.7204387643110488,34
251,2022,Marquette,0.510047077711252,47
252,2022,Indiana,0.5963167562705839,44
253,2022,Norfolk St.,0.14780930921487745,62
254,2022,Akron,0.19182028253222247,56
255,2022,Yale,0.14514170035428345,64
256,2022,Wyoming,0.4643226214727618,48
257,2022,Virginia Tech,0.9429407108738054,22
259,2022,Loyola Chicago,0.5311449234051342,46
260,2022,Longwood,0.22370939545288154,54
261,2022,Delaware,0.1690659542850604,58
262,2022,Colorado St.,0.6253178986932117,42
263,2022,Chattanooga,0.5593397192779156,45
264,2022,Bryant,0.14984482532565885,60
265,2022,Wright St.,0.12445861811174033,67
266,2022,UAB,0.6393383475788126,41
267,2022,Jacksonville St.,0.1498239850222575,61
268,2022,Colgate,0.1786722108744471,57
269,2022,South Dakota St.,0.43145340889605666,49
270,2022,Texas A&M Corpus Chris,0.09244320308664114,68
271,2022,Texas Southern,0.12770522580738308,66
136,2023,Connecticut,1.615074884761409,11
137,2023,San Diego St.,1.3472263234267574,13
138,2023,Miami FL,0.9282935474237202,26
139,2023,Florida Atlantic,0.9478617173304502,23
140,2023,Texas,2.126291364600193,6
141,2023,Gonzaga,2.0545346703625,7
142,2023,Kansas St.,0.9378245131652865,24
143,2023,Creighton,1.0336090869084995,19
144,2023,UCLA,3.2310637723115505,1
145,2023,Alabama,2.8104986740962996,3
146,2023,Houston,3.0447360138432193,2
147,2023,Xavier,1.199497233497662,15
148,2023,Tennessee,1.4214133910634197,12
149,2023,Michigan St.,0.8665731703979205,29
150,2023,Arkansas,0.824418451964751,31
151,2023,Princeton,0.1986919517401649,62
152,2023,Kansas,2.1878039999738492,5
153,2023,Marquette,1.8849065960460796,9
154,2023,Duke,1.6567939810927759,10
