,Season,Team Name,Seed,Region,Year,Team
500,2019,Iowa,10,South,2019,Iowa
501,2019,Tennessee,2,South,2019,Tennessee
502,2019,Colgate,15,South,2019,Colgate
503,2019,North Carolina,1,Midwest,2019,North Carolina
504,2019,Iona,16,Midwest,2019,Iona
505,2019,Utah State,8,Midwest,2019,Utah State
506,2019,Washington,9,Midwest,2019,Washington
507,2019,Auburn,5,Midwest,2019,Auburn
508,2019,New Mexico State,12,Midwest,2019,New Mexico State
509,2019,Kansas,4,Midwest,2019,Kansas
510,2019,Northeastern,13,Midwest,2019,Northeastern
511,2019,Iowa State,6,Midwest,2019,Iowa State
512,2019,Ohio State,11,Midwest,2019,Ohio State
513,2019,Houston,3,Midwest,2019,Houston
514,2019,Georgia State,14,Midwest,2019,Georgia State
515,2019,Wofford,7,Midwest,2019,Wofford
516,2019,Seton Hall,10,Midwest,2019,Seton Hall
517,2019,Kentucky,2,Midwest,2019,Kentucky
518,2019,Abilene Christian,15,Midwest,2019,Abilene Christian
519,2018,Virginia,1,South,2018,Virginia
520,2018,UMBC,16,South,2018,UMBC
521,2018,Creighton,8,South,2018,Creighton
522,2018,Kansas State,9,South,2018,Kansas State
523,2018,Kentucky,5,South,2018,Kentucky
524,2018,Davidson,12,South,2018,Davidson
525,2018,Arizona,4,South,2018,Arizona
526,2018,Buffalo,13,South,2018,Buffalo
527,2018,Miami,6,South,2018,Miami
528,2018,Loyola Chicago,11,South,2018,Loyola Chicago
529,2018,Tennessee,3,South,2018,Tennessee
530,2018,Wright State,14,South,2018,Wright State
531,2018,Nevada,7,South,2018,Nevada
532,2018,Texas,10,South,2018,Texas
533,2018,Cincinnati,2,South,2018,Cincinnati
534,2018,Georgia State,15,South,2018,Georgia State
535,2018,Xavier,1,West,2018,Xavier
536,2018,Texas Southern,16,West,2018,Texas Southern
537,2018,North Carolina Central,16,West,2018,North Carolina Central
538,2018,Missouri,8,West,2018,Missouri
539,2018,Florida State,9,West,2018,Florida State
540,2018,Ohio State,5,West,2018,Ohio State
541,2018,South Dakota State,12,West,2018,South Dakota State
542,2018,Gonzaga,4,West,2018,Gonzaga
543,2018,UNC Greensboro,13,West,2018,UNC Greensboro
544,2018,Houston,6,West,2018,Houston
545,2018,San Diego State,11,West,2018,San Diego State
546,2018,Michigan,3,West,2018,Michigan
547,2018,Montana,14,West,2018,Montana
548,2018,Texas A&M,7,West,2018,Texas A&M
549,2018,Providence,10,West,2018,Providence
550,2018,North Carolina,2,West,2018,North Carolina
551,2018,Lipscomb,15,West,2018,Lipscomb
552,2018,Villanova,1,East,2018,Villanova
553,2018,Radford,16,East,2018,Radford
554,2018,Long Island University,16,East,2018,Long Island University
555,2018,Virginia Tech,8,East,2018,Virginia Tech
556,2018,Alabama,9,East,2018,Alabama
557,2018,West Virginia,5,East,2018,West Virginia
558,2018,Murray State,12,East,2018,Murray State
559,2018,Wichita State,4,East,2018,Wichita State
560,2018,Marshall,13,East,2018,Marshall
561,2018,Florida,6,East,2018,Florida
562,2018,St. Bonaventure,11,East,2018,St. Bonaventure
563,2018,UCLA,11,East,2018,UCLA
564,2018,Texas Tech,3,East,2018,Texas Tech
565,2018,Stephen F. Austin,14,East,2018,Stephen F. Austin
566,2018,Arkansas,7,East,2018,Arkansas
567,2018,Butler,10,East,2018,Butler
568,2018,Purdue,2,East,2018,Purdue
569,2018,Cal State Fullerton,15,East,2018,Cal State Fullerton
570,2018,Kansas,1,Midwest,2018,Kansas
