,Year,Team,Proj_Wins_Agg,Wins_Rank_Agg
223,2022,Wisconsin,1.1876910082307677,18
232,2022,New Mexico St.,0.28296290453146056,53
233,2022,Memphis,0.6057765333138463,41
229,2022,TCU,0.7959712271681493,30
234,2022,Richmond,0.2834875878880533,52
235,2022,Creighton,0.5807230003718674,43
236,2022,Kentucky,2.575595314262255,6
237,2022,Connecticut,1.0322615705754754,22
238,2022,Iowa,1.9734011640585662,10
242,2022,LSU,1.416328931153661,15
239,2022,Boise St.,0.8107410575120285,28
258,2022,Seton Hall,0.8302734300100144,27
241,2022,San Diego St.,0.6141230531984191,39
240,2022,Alabama,0.7048323775935466,33
244,2022,Rutgers,0.3159650653676622,51
245,2022,Montana St.,0.1403753960515739,55
246,2022,Georgia St.,0.10169066333706846,60
247,2022,Davidson,0.5343440383350955,45
248,2022,Cal St. Fullerton,0.0867404659812312,65
249,2022,Vermont,0.3996281973040012,48
250,2022,San Francisco,0.8334621133414944,26
251,2022,Marquette,0.46140339253956003,47
252,2022,Indiana,0.49052011320430056,46
253,2022,Norfolk St.,0.08846535952826504,64
254,2022,Akron,0.12593401201958326,57
255,2022,Yale,0.10568308306159752,59
256,2022,Wyoming,0.3955825411862657,49
257,2022,Virginia Tech,1.1109604975410945,20
259,2022,Loyola Chicago,0.5388571902683323,44
260,2022,Longwood,0.17530392691663316,54
261,2022,Delaware,0.1257972819887106,58
262,2022,Colorado St.,0.5947018134783819,42
263,2022,Chattanooga,0.6136710151383873,40
264,2022,Bryant,0.09095401407216572,63
265,2022,Wright St.,0.07986779319534301,67
266,2022,UAB,0.6827362621139743,36
243,2022,USC,0.745367014994962,31
267,2022,Jacksonville St.,0.10059486064466158,61
268,2022,Colgate,0.1331555656444436,56
269,2022,South Dakota St.,0.36923347234311804,50
270,2022,Texas A&M Corpus Chris,0.0545517104895853,68
271,2022,Texas Southern,0.08371041729690251,66
136,2023,Connecticut,1.6740390650862633,10
137,2023,San Diego St.,1.5595273888080428,12
138,2023,Miami FL,0.934397961829435,25
139,2023,Florida Atlantic,1.0157386175275138,21
140,2023,Texas,2.27637604824824,6
141,2023,Gonzaga,2.132477274968302,7
142,2023,Kansas St.,0.9439753817977843,23
143,2023,Creighton,1.0869692245239173,17
144,2023,UCLA,3.819960659377695,1
145,2023,Alabama,2.792867358476573,3
146,2023,Houston,3.57818091628382,2
147,2023,Xavier,1.064962378913398,18
150,2023,Arkansas,0.8683246758111701,27
148,2023,Tennessee,1.5420102276351064,13
149,2023,Michigan St.,0.7985359979399633,32
151,2023,Princeton,0.15004458581032223,61
152,2023,Kansas,2.307443237641795,5
153,2023,Marquette,1.9414520548379104,8
154,2023,Duke,1.6557520896607907,11
